2026-01-05 10:45:55,162.162] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/core/retrievers/full_text_retriever.py', reloading)
2026-01-05 12:33:27,082.082] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 12:33:47,461.461] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 12:34:07,063.063] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 12:34:07,122.122] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 12:34:08,398.398] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 12:34:30,616.616] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 12:34:30,679.679] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 12:34:35,237.237] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 12:34:55,021.021] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 12:34:55,061.061] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 12:35:09,416.416] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 12:35:30,396.396] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 12:35:30,433.433] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 12:35:45,592.592] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 12:36:05,404.404] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 12:36:05,429.429] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 12:36:37,280.280] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 12:36:54,603.603] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 12:36:54,633.633] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 12:38:34,426.426] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 12:39:04,043.043] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 12:39:04,098.098] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 12:39:16,931.931] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 12:39:41,438.438] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 12:39:41,491.491] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 12:40:25,703.703] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 12:40:44,290.290] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 12:40:44,328.328] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 12:40:50,093.093] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 12:41:05,461.461] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 12:41:05,526.526] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 12:41:17,358.358] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 12:41:34,659.659] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 12:41:34,702.702] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 12:41:49,670.670] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 12:42:04,596.596] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 12:42:04,637.637] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:17:48,461.461] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:18:54,030.030] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:18:54,065.065] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:18:55,320.320] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:19:14,910.910] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:19:14,951.951] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:19:17,369.369] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:19:41,603.603] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:19:41,644.644] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:19:49,441.441] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:20:10,889.889] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:20:10,928.928] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:20:39,901.901] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:21:27,525.525] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:21:27,553.553] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:21:35,179.179] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:21:57,027.027] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:21:57,062.062] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:22:16,432.432] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:22:49,517.517] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:22:49,603.603] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:24:01,404.404] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:24:20,546.546] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:24:20,579.579] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:25:22,812.812] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:25:40,634.634] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:25:40,660.660] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:25:51,908.908] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:26:12,617.617] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:26:12,657.657] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:26:27,007.007] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:26:43,445.445] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:26:43,499.499] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:27:03,879.879] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:27:23,028.028] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:27:23,062.062] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:27:37,165.165] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:28:00,239.239] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:28:00,270.270] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:28:35,188.188] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:28:58,801.801] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:28:58,834.834] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:52:57,482.482] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:53:19,081.081] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:53:19,149.149] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:53:32,632.632] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:53:57,729.729] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:53:57,811.811] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:54:03,581.581] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:54:30,729.729] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:54:30,783.783] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:54:38,993.993] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:55:00,415.415] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:55:00,465.465] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:55:03,122.122] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:55:23,113.113] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:55:23,179.179] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 15:55:24,430.430] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 15:55:43,633.633] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 15:55:43,681.681] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:00:07,651.651] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:00:35,101.101] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:00:35,136.136] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:00:42,108.108] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:00:59,704.704] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:00:59,731.731] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:01:10,613.613] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:01:27,849.849] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:01:27,899.899] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:01:32,319.319] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:01:54,750.750] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:01:54,782.782] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:02:00,296.296] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:02:19,431.431] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:02:19,465.465] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:02:25,945.945] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:02:49,504.504] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:02:49,529.529] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:03:35,497.497] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:03:59,420.420] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:03:59,447.447] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:04:27,626.626] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:04:51,619.619] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:04:51,670.670] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:05:11,908.908] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:05:36,119.119] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:05:36,146.146] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:08:41,938.938] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:09:05,189.189] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:09:05,217.217] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:09:12,966.966] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:09:31,834.834] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:09:31,871.871] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:09:47,697.697] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:10:06,024.024] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:10:06,056.056] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:12:11,298.298] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:12:31,380.380] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:12:31,447.447] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:15:20,390.390] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:15:41,717.717] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:15:41,751.751] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:16:50,313.313] client.py line:668 WARNING: Failed to get info from https://api.smith.langchain.com: ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))))
2026-01-05 16:16:57,906.906] _internal.py line:97 INFO: 127.0.0.1 - - [05/Jan/2026 16:16:57] "POST /app/50d5ab41-7319-4c34-8a69-91ff77c3c7dd/debug HTTP/1.1" 200 -)
2026-01-05 16:24:13,336.336] _internal.py line:97 INFO: 127.0.0.1 - - [05/Jan/2026 16:24:13] "POST /app/50d5ab41-7319-4c34-8a69-91ff77c3c7dd/debug HTTP/1.1" 200 -)
2026-01-05 16:26:30,941.941] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:26:49,730.730] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:26:49,778.778] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:38:32,699.699] client.py line:668 WARNING: Failed to get info from https://api.smith.langchain.com: ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))))
2026-01-05 16:38:32,908.908] _internal.py line:97 INFO: 127.0.0.1 - - [05/Jan/2026 16:38:32] "POST /app/50d5ab41-7319-4c34-8a69-91ff77c3c7dd/debug HTTP/1.1" 200 -)
2026-01-05 16:42:07,954.954] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:42:32,706.706] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:42:32,741.741] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:43:55,107.107] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:44:19,076.076] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:44:19,104.104] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:44:33,027.027] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:44:53,868.868] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:44:53,893.893] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
2026-01-05 16:45:03,450.450] _internal.py line:97 INFO:  * Detected change in '/Users/koukeshitone/Desktop/技术相关/2025/llmops/llmops-api/internal/handler/app_handler.py', reloading)
2026-01-05 16:45:28,450.450] _internal.py line:97 WARNING:  * Debugger is active!)
2026-01-05 16:45:28,479.479] _internal.py line:97 INFO:  * Debugger PIN: 441-569-038)
